AÑO;TÍTULO;TIPO;ACTORES;EPISODIOS;TEMÁTICA;MINUTOS
07/11/2014;La teoría del todo;P; Eddie Redmayne, Felicity Jones, Charlie Cox, David Thewlis;;;124
28/11/2014;Descifrando enigma;P;Benedict Cumberbatch, Keira Knightley, Mark Strong, Charles Dance;;;114
27/09/2019;Dinero sucio;P;Meryl Streep, Gary Oldman, Antonio Banderas, David Schwimmer;;;96
22/01/2016;La gran apuesta;P;Christian Bale, Steve Carell, Ryan Gosling, John Magaro;;;130
12/09/2013;Peaky Blinders;S;Cillian Murphy, Sam Neill, Paul Anderson, Helen McCrory, Joe Cole;30;;
22/09/1994;Friends;S;Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc, Matthew Perry y David Schwimmer;236;;
20/01/2008;Breaking bad;S; Bryan Cranston, Aaron Paul, Anna Gunn, Dean Norris;62;;
27/05/2011;Senna;D;;;Fórmula 1;
15/11/2018;La tierra es plana;D;;;Geografía;
14/09/2018;The dawn wall;D;;;Deporte;